track_name,album,album_release,artist,popularity,genres,playlist,duration_sec
I Don't Care (with Justin Bieber) - Loud Luxury Remix,I Don't Care (with Justin Bieber) [Loud Luxury Remix],14-06-2019,Ed Sheeran,66,pop,Pop Remix,194.7539999999
Memories - Dillon Francis Remix,Memories (Dillon Francis Remix),13-12-2019,Maroon 5,67,pop,Pop Remix,162.6
All the Time - Don Diablo Remix,All the Time (Don Diablo Remix),05-07-2019,Zara Larsson,70,pop,Pop Remix,176.616
Call You Mine - Keanu Silva Remix,Call You Mine - The Remixes,19-07-2019,The Chainsmokers,60,pop,Pop Remix,169.093
Someone You Loved - Future Humans Remix,Someone You Loved (Future Humans Remix),05-03-2019,Lewis Capaldi,69,pop,Pop Remix,189.05200000000002
Beautiful People (feat. Khalid) - Jack Wins Remix,Beautiful People (feat. Khalid) [Jack Wins Remix],11-07-2019,Ed Sheeran,67,pop,Pop Remix,163.049
Never Really Over - R3HAB Remix,Never Really Over (R3HAB Remix),26-07-2019,Katy Perry,62,pop,Pop Remix,187.675
Post Malone (feat. RANI) - GATTÜSO Remix,Post Malone (feat. RANI) [GATTÜSO Remix],29-08-2019,Sam Feldt,69,pop,Pop Remix,207.61900000000003
Tough Love - Tiësto Remix / Radio Edit,Tough Love (Tiësto Remix),14-06-2019,Avicii,68,pop,Pop Remix,193.187
If I Can't Have You - Gryffin Remix,If I Can't Have You (Gryffin Remix),20-06-2019,Shawn Mendes,67,pop,Pop Remix,253.04
Cross Me (feat. Chance the Rapper & PnB Rock) - M-22 Remix,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],21-06-2019,Ed Sheeran,58,pop,Pop Remix,207.89399999999998
Hate Me - R3HAB Remix,Hate Me (R3HAB Remix),16-08-2019,Ellie Goulding,67,pop,Pop Remix,203.733
Body On My,Body On My,29-03-2019,Loud Luxury,67,pop,Pop Remix,192.507
SOS - Laidback Luke Tribute Remix / Radio Edit,SOS (Laidback Luke Tribute Remix),17-05-2019,Avicii,68,pop,Pop Remix,164.516
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) - Tiësto Remix,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy) [Remixes],12-07-2019,Martin Garrix,63,pop,Pop Remix,255.23800000000003
South of the Border (feat. Camila Cabello & Cardi B) - Andy Jarvis Remix,South of the Border (feat. Camila Cabello & Cardi B) [Andy Jarvis Remix],11-12-2019,Ed Sheeran,66,pop,Pop Remix,188.2299999999
All My Friends - Eden Prince Remix,All My Friends (Eden Prince Remix),03-05-2019,AJ Mitchell,60,pop,Pop Remix,173.548
Say My Name (feat. Bebe Rexha & J Balvin) - Lucas & Steve Remix,Say My Name (feat. Bebe Rexha & J Balvin) [Lucas & Steve Remix],28-12-2018,David Guetta,65,pop,Pop Remix,189.37499999990004
Dancing With A Stranger (With Normani) - Cheat Codes Remix,Dancing With A Stranger (With Normani) [Cheat Codes Remix],08-03-2019,Sam Smith,69,pop,Pop Remix,159.4039999999
Let It Be Me - Sondr Remix,Let It Be Me (Remixes),18-10-2019,Steve Aoki,35,pop,Pop Remix,185.36599999999999
Heaven - David Guetta & MORTEN Remix,Heaven (David Guetta & MORTEN Remix),23-08-2019,Avicii,70,pop,Pop Remix,215.23800000000003
All Around The World (La La La) - Marnik Remix,All Around The World (La La La) [Marnik Remix],23-08-2019,R3HAB,64,pop,Pop Remix,170.66699999999997
Don't Leave Me Alone (feat. Anne-Marie) - EDX's Indian Summer Remix,Don't Leave Me Alone (feat. Anne-Marie) [EDX's Indian Summer Remix],08-05-2019,David Guetta,62,pop,Pop Remix,210.968
Slow Dance (feat. Ava Max) - Sam Feldt Remix,Slow Dance (feat. Ava Max) [Sam Feldt Remix],25-10-2019,AJ Mitchell,70,pop,Pop Remix,193.548
Do You Mean (feat. Ty Dolla $ign & bülow) - Myon Remix,Do You Mean - The Remixes (feat. Ty Dolla $ign & bülow),24-05-2019,The Chainsmokers,58,pop,Pop Remix,205.093
Hold Me While You Wait - Steve Void Remix,Hold Me While You Wait (Steve Void Remix),21-06-2019,Lewis Capaldi,63,pop,Pop Remix,172.8
One Thing Right - Firebeatz Remix,One Thing Right (Remixes),09-08-2019,Marshmello,66,pop,Pop Remix,192.38100000000003
Close To Me (with Diplo) (feat. Swae Lee) - CID Remix,Close To Me (Remixes),01-02-2019,Ellie Goulding,8,pop,Pop Remix,175.0
So Am I - Toby Green Remix,So Am I (Toby Green Remix),23-05-2019,Ava Max,62,pop,Pop Remix,166.87500000000003
When You Leave - Breathe Carolina Remix,When You Leave (Breathe Carolina Remix),19-04-2019,Nikki Vianna,30,pop,Pop Remix,155.0799999999
Mother - Fedde Le Grand Remix,Mother (Fedde Le Grand Remix),01-11-2019,Charlie Puth,56,pop,Pop Remix,178.12500000000003
Signs - Eden Prince Remix,Signs (Eden Prince Remix),30-11-2018,Starley,56,pop,Pop Remix,171.99999999989998
Ruin My Life - Steve James Remix,Ruin My Life (Remixes),23-11-2018,Zara Larsson,58,pop,Pop Remix,177.097
Torn - KREAM Remix,Torn (KREAM Remix),05-09-2019,Ava Max,60,pop,Pop Remix,169.935
Quite Miss Home - Steve Void Remix,Quite Miss Home (Steve Void Remix),22-11-2019,James Arthur,60,pop,Pop Remix,220.41299999999998
Love Me Less (feat. Quinn XCII) - Party Pupils Remix,Love Me Less (Remixes),21-06-2019,MAX,55,pop,Pop Remix,185.2729999999
Happier - Matt Medved Remix,Happier (Remixes Pt. 2),30-11-2018,Marshmello,59,pop,Pop Remix,170.1639999999
Side Effects - Fedde Le Grand Remix,Side Effects - Remixes,25-07-2018,The Chainsmokers,63,pop,Pop Remix,172.36000000000004
Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],Good Things Fall Apart (with Jon Bellion) [Tiësto's Big Room Remix],12-07-2019,ILLENIUM,67,pop,Pop Remix,247.385
Paradise - Bazzi vs. Black Caviar Remix,Paradise (Bazzi vs. Black Caviar Remix),27-06-2019,Bazzi vs.,55,pop,Pop Remix,218.01499999990003
White Mercedes - EDX's Miami Sunset Remix,White Mercedes (EDX's Miami Sunset Remix),25-10-2019,Charli XCX,56,pop,Pop Remix,200.4439999999
Higher Love,Higher Love,28-06-2019,Kygo,87,pop,Pop Remix,228.267
Unlove You,Unlove You,18-10-2019,Armin van Buuren,62,pop,Pop Remix,150.1599999999
bad guy (with Justin Bieber),bad guy (with Justin Bieber),11-07-2019,Billie Eilish,83,pop,Pop Remix,194.84
Freaking Me Out - Keanu Silva Remix,Freaking Me Out (Keanu Silva Remix),01-11-2019,Ava Max,55,pop,Pop Remix,177.466
Heaven Can Wait - The Aston Shuffle Remix,Heaven Can Wait (The Aston Shuffle Remix),24-05-2019,Sia,61,pop,Pop Remix,218.37299999990003
When It Comes To You - Benny Benassi & BB Team Remix,When It Comes To You (Remixes),25-10-2019,Sean Paul,56,pop,Pop Remix,144.07299999999998
